player,games,inning,not_outs,total_runs,balls_faced,bb,ave,strike_rate,hundreds,fifties,fours,sixes
ABD Afridi,1,1,0,31,35,31 (35),31,88.5714285714286,0,0,2,1
D'Arcy Hogg,1,1,1,25,21,25* (21),,119.047619047619,0,0,2,1
Sunil Amla,1,1,0,7,5,7 (5),7,140,0,0,0,1
Suresh Pollard,1,1,0,7,8,7 (8),7,87.5,0,0,1,0
Virat Tendulkar,1,1,0,7,10,7 (10),7,70,0,0,1,0
Russell Perera,1,1,0,6,7,6 (7),6,85.7142857142857,0,0,1,0
Tim Starc,1,1,0,6,11,6 (11),6,54.5454545454545,0,0,1,0
KL McCullum,1,1,0,5,13,5 (13),5,38.4615384615385,0,0,0,0
Babar Gayle,1,1,0,1,4,1 (4),1,25,0,0,0,0
Morne Narine,1,1,0,0,5,0 (5),0,0,0,0,0,0
Jasprit Jadeja,1,1,1,0,1,0* (1),,0,0,0,0,0
