player,games,inning,not_outs,total_runs,balls_faced,bb,ave,strike_rate,hundreds,fifties,fours,sixes
Kian Tudor,1,1,0,49,48,49 (48),49,102.083333333333,0,0,3,2
Knut Gunvald,1,1,0,20,23,20 (23),20,86.9565217391304,0,0,2,0
Feletheus Petrou,1,1,0,11,15,11 (15),11,73.3333333333333,0,0,1,0
Faz Jil,1,1,0,8,9,8 (9),8,88.8888888888889,0,0,1,0
Deorwine Drechslerg,1,1,0,3,8,3 (8),3,37.5,0,0,0,0
Carim Mourad,1,1,1,3,6,3* (6),,50,0,0,0,0
Emperor Fulke,1,1,0,1,4,1 (4),1,25,0,0,0,0
Kaliq Kazemi,1,1,1,1,1,1* (1),,100,0,0,0,0
Dane Botwrighte,1,1,0,0,4,0 (4),0,0,0,0,0,0
Rodaidh O'Connelli,1,1,0,0,2,0 (2),0,0,0,0,0,0
Gazarath Kahzin,1,0,,0,0,0* (0),,,0,0,0,0
