player,games,inning,not_outs,total_runs,balls_faced,bb,ave,strike_rate,hundreds,fifties,fours,sixes
Ashutosh Kumar Kushwaha,1,1,1,87,46,87* (46),,189.130434782609,0,1,5,7
Gauti Gambhir,1,1,0,36,28,36 (28),36,128.571428571429,0,0,1,3
Virat King Kohli,1,1,1,13,12,13* (12),,108.333333333333,0,0,1,0
ABD Villiers,1,0,,0,0,0* (0),,,0,0,0,0
Bhuvi Kumar,1,0,,0,0,0* (0),,,0,0,0,0
Hard hit Pandya,1,0,,0,0,0* (0),,,0,0,0,0
Josh Buttler,1,0,,0,0,0* (0),,,0,0,0,0
Rashid Khaan,1,0,,0,0,0* (0),,,0,0,0,0
Ravi Ashwin,1,0,,0,0,0* (0),,,0,0,0,0
Ro hitman Sharma,1,0,,0,0,0* (0),,,0,0,0,0
Trent Bolt,1,0,,0,0,0* (0),,,0,0,0,0
