player,games,inning,not_outs,total_runs,balls_faced,bb,ave,strike_rate,hundreds,fifties,fours,sixes
Neville Longbottom,1,1,1,58,56,58* (56),,103.571428571429,0,1,3,1
Albus Dumbledore,1,1,0,27,25,27 (25),27,108,0,0,1,2
Harry Potter,1,1,0,18,22,18 (22),18,81.8181818181818,0,0,0,1
Sirius Black,1,1,1,13,13,13* (13),,100,0,0,2,0
Ron Weasley,1,1,0,2,4,2 (4),2,50,0,0,0,0
Fred Weasley,1,0,,0,0,0* (0),,,0,0,0,0
George Weasley,1,0,,0,0,0* (0),,,0,0,0,0
Ginny Weasley,1,0,,0,0,0* (0),,,0,0,0,0
Hermione Granger,1,0,,0,0,0* (0),,,0,0,0,0
Luna Lovegood,1,0,,0,0,0* (0),,,0,0,0,0
Severus Snape,1,0,,0,0,0* (0),,,0,0,0,0
