player,games,inning,not_outs,total_runs,balls_faced,bb,ave,strike_rate,hundreds,fifties,fours,sixes
Manish Warner,1,1,1,71,39,71* (39),,182.051282051282,0,1,4,5
Jason Mohammed,1,1,1,15,18,15* (18),,83.3333333333333,0,0,1,0
Priyam Singh,1,1,0,14,18,14 (18),14,77.7777777777778,0,0,1,1
David Williamson,1,1,0,13,17,13 (17),13,76.4705882352941,0,0,1,0
Kane Pandey,1,1,0,12,16,12 (16),12,75,0,0,1,0
Johhny Saha,1,1,0,3,12,3 (12),3,25,0,0,0,0
Bhuvneshwar Kaul,1,0,,0,0,0* (0),,,0,0,0,0
Billy Ahmed,1,0,,0,0,0* (0),,,0,0,0,0
Rashid Kumar,1,0,,0,0,0* (0),,,0,0,0,0
Sandeep Natarajan,1,0,,0,0,0* (0),,,0,0,0,0
Sanjay Samad,1,0,,0,0,0* (0),,,0,0,0,0
