player,games,inning,overs,total_wickets,runs_conceded,ave,economy_rate,strike_rate,fifers,fourfers
Russell Perera,3,3,11.0,8,28,3.5,2.5454545454545454,8.25,0,1
Tim Starc,3,3,11.2,6,29,4.833333333333333,2.5892857142857144,11.199999999999998,1,0
Dirk Steyn,3,3,12.0,5,77,15.4,6.416666666666667,14.4,0,1
Jasprit Jadeja,3,3,12.0,5,55,11.0,4.583333333333333,14.4,0,0
Hard hit Pandya,2,2,8.0,3,26,8.666666666666666,3.25,16.0,0,0
Ashutosh Kumar Kushwaha,3,3,12.0,3,66,22.0,5.5,24.0,0,0
Bad Brad,3,3,12.0,3,47,15.666666666666666,3.9166666666666665,24.0,0,0
Carim Mourad,3,3,3.0,3,30,10.0,10.0,6.0,0,0
Dane Botwrighte,3,3,9.0,3,54,18.0,6.0,18.0,0,0
Ginny Weasley,3,3,10.2,3,57,19.0,5.588235294117648,20.4,0,0
Kaliq Kazemi,3,3,9.0,3,48,16.0,5.333333333333333,18.0,0,0
Jason Mohammed,3,3,12.0,3,91,30.333333333333332,7.583333333333333,24.0,0,0
Luna Lovegood,3,3,9.0,3,67,22.333333333333332,7.444444444444445,18.0,0,0
Morne Donald,3,3,12.0,3,52,17.333333333333332,4.333333333333333,24.0,0,0
Rodaidh O'Connelli,3,3,9.0,3,51,17.0,5.666666666666667,18.0,0,0
Severus Snape,3,3,9.0,3,69,23.0,7.666666666666667,18.0,0,0
Adalard Wessex,3,3,12.0,3,63,21.0,5.25,24.0,0,0
Dwayne Miller,3,3,10.0,2,72,36.0,7.2,30.0,0,0
Rashid Khaan,3,3,12.0,2,90,45.0,7.5,36.0,0,0
Siya Kholisi,1,1,3.0,2,21,10.5,7.0,9.0,0,0
Ashwin Adams,2,2,6.0,2,18,9.0,3.0,18.0,0,0
Trent Bolt,2,2,7.0,1,41,41.0,5.857142857142857,42.0,0,0
Bhuvneshwar Kaul,3,3,7.0,1,55,55.0,7.857142857142857,42.0,0,0
Fred Weasley,3,3,11.0,1,66,66.0,6.0,66.0,0,0
Ravi Ashwin,1,1,1.0,1,4,4.0,4.0,6.0,0,0
Suresh Pollard,2,2,6.0,1,26,26.0,4.333333333333333,36.0,0,0
Hermione Granger,3,3,7.0,1,46,46.0,6.571428571428571,42.0,0,0
Sanjay Samad,2,2,3.2,1,41,41.0,12.8125,19.200000000000003,0,0
Billy Ahmed,3,3,12.0,1,66,66.0,5.5,72.0,0,0
Steyn Gun,1,1,4.0,1,13,13.0,3.25,24.0,0,0
Morne Narine,3,3,4.0,0,44,inf,11.0,inf,0,0
George Weasley,3,3,10.0,0,64,inf,6.4,inf,0,0
D'Arcy Hogg,3,3,7.0,0,80,inf,11.428571428571429,inf,0,0
Chris Riley,1,1,1.0,0,14,inf,14.0,inf,0,0
Alderman Gerolt,3,3,3.0,0,42,inf,14.0,inf,0,0
Bhuvi Kumar,3,3,12.0,0,74,inf,6.166666666666667,inf,0,0
Basil Raj,1,1,4.0,0,24,inf,6.0,inf,0,0
Muscle Russell,1,1,2.0,0,16,inf,8.0,inf,0,0
Sandeep Natarajan,3,3,4.8,0,69,inf,14.375,inf,0,0
Rashid Kumar,2,2,4.0,0,54,inf,13.5,inf,0,0
Shane Warner,2,2,4.0,0,29,inf,7.25,inf,0,0
Thisara Bumrah,1,1,3.0,0,18,inf,6.0,inf,0,0
Sir Jadeja,1,1,2.0,0,23,inf,11.5,inf,0,0
Vijay Sharma,1,1,4.0,0,25,inf,6.25,inf,0,0
