player,Matches,Innings,Not Outs,Runs,Balls Faced,Average,Strike Rate,100s,50s,4s,6s
Sunil Amla,3,3,1.0,140,82,70.0,170.73170731707316,0,1,6,12
ABD Afridi,3,2,1.0,62,64,62.0,96.875,0,0,5,1
Babar Gayle,3,3,0.0,51,71,17.0,71.83098591549296,0,0,3,2
D'Arcy Hogg,3,1,1.0,25,21,inf,119.04761904761905,0,0,2,1
Virat Tendulkar,3,3,1.0,21,23,10.5,91.30434782608695,0,0,2,1
Russell Perera,3,2,1.0,11,12,11.0,91.66666666666667,0,0,2,0
Suresh Pollard,2,1,0.0,7,8,7.0,87.5,0,0,1,0
Tim Starc,3,1,0.0,6,11,6.0,54.54545454545455,0,0,1,0
KL McCullum,2,1,0.0,5,13,5.0,38.46153846153846,0,0,0,0
Shahid Watson,1,1,0.0,1,6,1.0,16.666666666666668,0,0,0,0
Jasprit Jadeja,3,1,1.0,0,1,,0.0,0,0,0,0
Morne Narine,3,1,0.0,0,5,0.0,0.0,0,0,0,0
Thisara Bumrah,1,0,0.0,0,0,,,0,0,0,0
