player,Matches,Innings,Not Outs,Runs,Balls Faced,Average,Strike Rate,100s,50s,4s,6s
Kian Tudor,2,2,0.0,96,98,48.0,97.95918367346938,0,0,6,3
Deorwine Drechslerg,3,3,1.0,73,70,36.5,104.28571428571429,0,0,4,3
Knut Gunvald,3,3,0.0,62,67,20.666666666666668,92.53731343283582,0,0,7,0
Feletheus Petrou,3,3,0.0,38,47,12.666666666666666,80.85106382978724,0,0,3,0
Faz Jil,2,2,0.0,16,14,8.0,114.28571428571429,0,0,1,1
Dane Botwrighte,3,2,0.0,9,24,4.5,37.5,0,0,1,0
Carim Mourad,3,2,2.0,5,9,inf,55.55555555555556,0,0,0,0
Dane Fran,2,2,0.0,5,11,2.5,45.45454545454545,0,0,0,0
Emperor Fulke,2,2,0.0,1,6,0.5,16.666666666666668,0,0,0,0
Kaliq Kazemi,3,2,2.0,1,3,inf,33.333333333333336,0,0,0,0
Adalard Wessex,1,1,0.0,0,5,0.0,0.0,0,0,0,0
Alderman Gerolt,1,0,0.0,0,0,,,0,0,0,0
Gazarath Kahzin,2,0,0.0,0,0,,,0,0,0,0
Rodaidh O'Connelli,3,2,0.0,0,6,0.0,0.0,0,0,0,0
