player,Matches,Innings,Not Outs,Runs,Balls Faced,Average,Strike Rate,100s,50s,4s,6s
Wiaan Claasens,3,3,2.0,125,102,125.0,122.54901960784314,0,1,7,4
Rudy Rothman,3,3,1.0,92,70,46.0,131.42857142857142,0,1,4,6
Dominic Torreto,3,3,0.0,54,59,18.0,91.52542372881356,0,0,4,2
Wynand Smith,3,2,0.0,24,30,12.0,80.0,0,0,1,0
Dwayne Miller,3,2,1.0,18,21,18.0,85.71428571428571,0,0,2,0
AB De Kock,3,2,0.0,9,18,4.5,50.0,0,0,1,0
Morne Donald,3,1,1.0,6,14,inf,42.857142857142854,0,0,1,0
Shane Warner,2,1,0.0,2,6,2.0,33.333333333333336,0,0,0,0
Bad Brad,3,1,0.0,1,3,1.0,33.333333333333336,0,0,0,0
Ashwin Adams,2,1,0.0,0,1,0.0,0.0,0,0,0,0
Chris Riley,1,0,0.0,0,0,,,0,0,0,0
Dirk Steyn,3,1,0.0,0,2,0.0,0.0,0,0,0,0
Siya Kholisi,1,0,0.0,0,0,,,0,0,0,0
