player,Matches,Innings,Not Outs,Runs,Balls Faced,Average,Strike Rate,100s,50s,4s,6s
Gauti Gambhir,3,3,1.0,148,105,74.0,140.95238095238096,0,2,7,9
Ashutosh Kumar Kushwaha,3,3,1.0,121,81,60.5,149.3827160493827,0,1,7,7
Virat King Kohli,3,3,1.0,33,27,16.5,122.22222222222223,0,0,3,1
ABD Villiers,3,2,0.0,18,27,9.0,66.66666666666667,0,0,1,0
Ro hitman Sharma,3,2,1.0,17,20,17.0,85.0,0,0,1,1
Risabh Pant,1,1,1.0,11,10,inf,110.0,0,0,2,0
Hard hit Pandya,2,1,1.0,1,2,inf,50.0,0,0,0,0
Bhuvi Kumar,3,0,0.0,0,0,,,0,0,0,0
Josh Buttler,2,1,0.0,0,2,0.0,0.0,0,0,0,0
Muscle Russell,1,0,0.0,0,0,,,0,0,0,0
Rashid Khaan,3,0,0.0,0,0,,,0,0,0,0
Ravi Ashwin,2,0,0.0,0,0,,,0,0,0,0
Sir Jadeja,1,0,0.0,0,0,,,0,0,0,0
Steyn Gun,1,0,0.0,0,0,,,0,0,0,0
Trent Bolt,2,0,0.0,0,0,,,0,0,0,0
