player,Matches,Innings,Not Outs,Runs,Balls Faced,Average,Strike Rate,100s,50s,4s,6s
David Williamson,3,3,1.0,152,113,76.0,134.5132743362832,0,2,8,7
Manish Warner,2,1,1.0,71,39,inf,182.05128205128204,0,1,4,5
Kane Pandey,3,3,1.0,62,65,31.0,95.38461538461539,0,0,6,1
Naman Goswami,1,1,0.0,45,49,45.0,91.83673469387755,0,0,2,1
Priyam Singh,2,2,1.0,38,42,38.0,90.47619047619048,0,0,2,2
Jason Mohammed,3,1,1.0,15,18,inf,83.33333333333333,0,0,1,0
Johhny Saha,3,2,0.0,15,25,7.5,60.0,0,0,1,0
Virat Shankar,1,1,1.0,8,10,inf,80.0,0,0,1,0
Basil Raj,1,0,0.0,0,0,,,0,0,0,0
Bhuvneshwar Kaul,3,0,0.0,0,0,,,0,0,0,0
Billy Ahmed,3,0,0.0,0,0,,,0,0,0,0
Rashid Kumar,2,0,0.0,0,0,,,0,0,0,0
Sandeep Natarajan,3,0,0.0,0,0,,,0,0,0,0
Sanjay Samad,2,0,0.0,0,0,,,0,0,0,0
Vijay Sharma,1,0,0.0,0,0,,,0,0,0,0
